Team,EloRank,xEloRank,1YearChange,xTeam,EloRating,FIFARank,,https://en.m.wikipedia.org/wiki/World_Football_Elo_Ratings
Russia,45,45,Increase 3, Russia,1685,66,,
Northern Ireland,46,46,Increase 5, Northern Ireland,1684,27,,
Bolivia,47,47,Decrease 3, Bolivia,1673,57,,
Panama,48,48,Increase 4, Panama,1669,55,,
Tunisia,49,49,Increase 21, Tunisia,1657,14,,
Greece,50,50,Decrease 1, Greece,1646,44,,
Cameroon,51,51,Decrease 11, Cameroon,1645,50,,
Egypt,52,52,Decrease 12, Egypt,1643,46,,
Ghana,53,53,Increase 12, Ghana,1617,50,,
Montenegro,53,,Increase 10, Montenegro,1617,43,,
Bulgaria,55,55,Steady, Bulgaria,1615,53,,
Norway,55,,Increase 14, Norway,1615,48,,
Slovenia,57,57,Decrease 3, Slovenia,1606,65,,
Syria,57,,Increase 11, Syria,1606,76,,
Finland,59,59,Increase 13, Finland,1604,62,,
Honduras,59,,Increase 3, Honduras,1604,59,,
Ivory Coast,61,61,Decrease 22, Ivory Coast,1602,69,,
Uzbekistan,61,,Decrease 8, Uzbekistan,1602,88,,
Burkina Faso,63,63,Decrease 4, Burkina Faso,1597,54,,
Saudi Arabia,63,,Decrease 6, Saudi Arabia,1597,67,,
Albania,65,65,Increase 1, Albania,1596,56,,
DR Congo,66,66,Decrease 2, DR Congo,1583,38,,
Hungary,67,67,Decrease 24, Hungary,1584,49,,
Jamaica,68,68,Increase 8, Jamaica,1574,54,,
South Africa,69,69,Decrease 8, South Africa,1557,72,,
Iraq,70,70,Increase 14, Iraq,1550,91,,
Oman,71,71,Increase 18, Oman,1539,87,,
Canada,72,72,Increase 3, Canada,1534,80,,
United Arab Emirates,73,73,Steady, United Arab Emirates,1532,81,,
Belarus,74,74,Decrease 3, Belarus,1531,93,,
Israel,75,75,Decrease 19, Israel,1527,98,,
Algeria,76,76,Decrease 16, Algeria,1524,64,,
China PR,77,77,Decrease 3, China PR,1520,73,,
Mali,78,78,Steady, Mali,1519,67,,
Macedonia,79,79,Increase 17, Macedonia,1518,77,,
New Zealand,80,80,Decrease 13, New Zealand,1515,133,,
Guatemala,81,81,Increase 1, Guatemala,1511,141,,
Georgia,82,82,Increase 7, Georgia,1506,95,,
Estonia,83,83,Increase 4, Estonia,1504,93,,
Haiti,84,84,Increase 3, Haiti,1495,108,,
Qatar,85,85,Decrease 6, Qatar,1486,101,,
Libya,86,86,Increase 5, Libya,1476,100,,
Jordan,87,87,Decrease 6, Jordan,1471,118,,
Zambia,88,88,Increase 8, Zambia,1470,78,,
Armenia,89,89,Decrease 9, Armenia,1464,98,,
Lebanon,90,90,Increase 23, Lebanon,1459,82,,
El Salvador,91,91,Increase 10, El Salvador,1457,85,,
North Korea,91,,Decrease 14, North Korea,1457,110,,
Uganda,91,,Steady, Uganda,1457,74,,
Guinea,94,94,Decrease 11, Guinea,1455,70,,
Northern Cyprus[a],94,,Steady, Northern Cyprus[a],1455,—,,
Zimbabwe,96,96,Increase 9, Zimbabwe,1451,113,,
Gabon,97,97,Decrease 1, Gabon,1439,90,,
Kuwait[b],98,98,Decrease 12, Kuwait[b],1430,160,,
Cape Verde,99,99,Steady, Cape Verde,1428,58,,
Trinidad and Tobago,100,100,Decrease 5, Trinidad and Tobago,1425,92,,
